Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
11459;831W;B0;AXAA54L-RNZMBX;040;52;8AT; ;   ;  ;;
11460;664W;B0;ASV71L-RETNHX ;1F7;A3;   ; ;   ;  ;;
11461;831W;B0;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11462;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11463;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11464;831W;B0;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11465;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11466;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11467;664W;B0;GSV70L-REZGBX ;218;C5;   ; ;   ;  ;;
11468;831W;B0;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;;
11469;664W;B0;ASV70L-RETNKX ;089;B2;   ; ;   ;  ;;
11470;831W;B0;MXAA54L-RNXMBX;218;52;CVT; ;   ;  ;;
11471;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11472;664W;B0;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11473;831W;B0;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11474;664W;B0;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11475;831W;B0;AXAA54L-RNZMBX;2PS;55;8AT; ;   ;  ;;
11476;664W;B0;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
